point,location,rawDate,state
31,FC2,11/24/2003 16:34,1
32,FC2,9/15/2004 12:51,1
33,FC2 ,9/15/2004 13:00,Missing Data
892,FC2,9/14/2005 10:30,1
893,FC2,9/25/2005 20:49,0
894,FC2,9/26/2005 2:46,1
895,FC2,11/25/2005 8:23,0
896,FC2,11/25/2005 9:36,1
897,FC2,11/26/2005 5:43,0
898,FC2,11/26/2005 9:45,1
899,FC2,12/7/2005 5:45,0
900,FC2,12/7/2005 11:12,1
901,FC2,12/8/2005 6:25,0
902,FC2,12/8/2005 9:03,1
903,FC2,12/9/2005 22:12,0
904,FC2,12/10/2005 17:38,1
905,FC2,12/13/2005 6:58,0
906,FC2,12/13/2005 11:41,1
907,FC2,12/19/2005 21:25,0
908,FC2,12/22/2005 15:31,1
909,FC2,12/22/2005 17:56,0
910,FC2,12/23/2005 12:36,1
911,FC2,12/24/2005 5:26,0
912,FC2,12/24/2005 11:35,1
913,FC2,2/19/2006 2:50,0
914,FC2,2/19/2006 18:35,1
915,FC2,8/29/2006 13:52,1
